dataset,TCW4
model,convgru
model_id,tcw4_convgru_softmaxconstraints
upsampling_factor,4
constraints,none
number_channels,64
number_residual_blocks,4
lr,0.001
loss,mse
optimizer,adam
weight_decay,1e-09
batch_size,64
epochs,20
alpha,0.99
test_val_train,val
training_evalonly,evalonly
dim_channels,1
adv_factor,0.0001
MSE,0.9637391214134793
RMSE,0.98170215
PSNR,40.251877
MAE,0.5255202496175965
SSIM,0.974543571472168
MS SSIM,0.9848491549491882
Pearson corr,0.9900228381156921
Mean bias,0.0488223172724247
Mean abs bias,0.07151398062705994
Mass_violation,0.43859207276254897
neg mean,-0.0017431601881980898
neg num,64
CRPS,0.0
