dataset,TCW4
model,convgru
model_id,tcw4_convgru_softmaxconstraints
upsampling_factor,4
constraints,softmax
number_channels,64
number_residual_blocks,4
lr,0.001
loss,mse
optimizer,adam
weight_decay,1e-09
batch_size,64
epochs,20
alpha,0.99
test_val_train,val
training_evalonly,evalonly
dim_channels,1
adv_factor,0.0001
MSE,0.20410995146240266
RMSE,0.4517853
PSNR,46.99283
MAE,0.22076127114084862
SSIM,0.9896625280380249
MS SSIM,0.9956484436988831
Pearson corr,0.9984380602836609
Mean bias,-4.350865001612192e-09
Mean abs bias,3.674059101399507e-08
Mass_violation,9.348596116372695e-07
neg mean,0.0
neg num,0
CRPS,0.0
