dataset,TCW2
model,cnn
model_id,twc2_cnn_softmaxconstraints
upsampling_factor,2
constraints,none
number_channels,64
number_residual_blocks,4
lr,0.001
loss,mse
optimizer,adam
weight_decay,1e-09
batch_size,64
epochs,20
alpha,0.99
test_val_train,val
training_evalonly,evalonly
dim_channels,1
adv_factor,0.0001
MSE,0.16392781019210817
RMSE,0.40488
PSNR,47.944942
MAE,0.2283371408780416
SSIM,0.992817223072052
MS SSIM,0.9972211718559265
Pearson corr,0.9895632266998291
Mean bias,-0.08392249792814255
Mean abs bias,0.08905389904975891
Mass_violation,0.18783688209950924
neg mean,-0.0006097231525927782
neg num,59
CRPS,0.0
